"Ligand: 446157
",,,,,,,,,,,,,,,,,,,,
Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication,,,,"
"
1lbk_v,3,2.99,0.9968,0.791124,1,2,0,0,0,0,Glutathione S-transferase P,TRANSFERASE,GSTP1_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.,NONE,NONE,,,,"
"
2ovm_v,3,2.96,0.9866,0.817543,2,1,0,0,0,0,Progesterone receptor,TRANSCRIPTION,PRGR_HUMAN,The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues.,NONE,Uterine fibroids;Menstruation disorder;Infertility;Acne;Breast tumor;Female contraception;Neoplasm;Planned abortion;Dysmenorrhea;Endometriosis;Hormone deficiency;Unidentified indication;Gynecological disorder;Musculoskeletal disease;Estrogen deficiency;Cancer;Contraception;Amenorrhea;Female infertility;Carcinoma;Menopause;Premenstrual syndrome;Anesthesia;Age related macular degeneration;Osteoporosis,,,,"
"
1rs0_v,3,2.944,0.9812,0.594697,2,1,0,0,0,0,Complement factor B,HYDROLASE,CFAB_HUMAN,"Factor B which is part of the alternate pathway of the complement system is cleaved by factor D into 2 fragments: Ba and Bb. Bb, a serine protease, then combines with complement factor 3b to generate the C3 or C5 convertase. It has also been implicated in",NONE,NONE,,,,"
"
1xn0_v,3,2.934,0.9779,0.79212,0,2,1,0,0,0,"cAMP-specific 3,5-cyclic phosphodiesterase 4B",HYDROLASE,PDE4B_HUMAN,May be involved in mediating central nervous system effects of therapeutic agents ranging from antidepressants to antiasthmatic and anti-inflammatory agents.,NONE,Chronic obstructive pulmonary disease;Asthma,,,,"
"
1okl_v,3,2.933,0.9776,0.643398,2,1,0,0,0,0,Carbonic anhydrase 2,LYASE,CAH2_HUMAN,Essential for bone resorption and osteoclast differentiation (By similarity). Reversible hydration of carbon dioxide.,"Defects in CA2 are the cause of autosomal recessive osteopetrosis type 3 (OPTB3) [MIM:259730]; also known as osteopetrosis with renal tubular acidosis, carbonic anhydrase II deficiency syndrome, Guibaud-Vainsel syndrome or marble brain disease. Osteopetrosis is a rare genetic disease characterized by abnormally dense bone, due to defective resorption of immature bone. The disorder occurs in two forms: a severe autosomal recessive form occurring in utero, infancy, or childhood, and a benign autosomal dominant form occurring in adolescence or adulthood. Autosomal recessive osteopetrosis is usually associated with normal or elevated amount of non-functional osteoclasts. OPTB3 is associated with renal tubular acidosis, cerebral calcification (marble brain disease) and in some cases with mental retardation.",NONE,,,,"
"
1l6l_v,3,2.924,0.9748,0.565191,3,0,0,0,0,0,Apolipoprotein A-II,LIPID TRANSPORT,APOA2_HUMAN,"May stabilize HDL (high density lipoprotein) structure by its association with lipids, and affect the HDL metabolism.",NONE,NONE,,,,"
"
2oji_v,3,2.922,0.974,0.693423,2,1,0,0,0,0,Mitogen-activated protein kinase 1,TRANSFERASE,MK01_HUMAN,"Involved in both the initiation and regulation of meiosis, mitosis, and postmitotic functions in differentiated cells by phosphorylating a number of transcription factors such as ELK1. Phosphorylates EIF4EBP1; required for initiation of translation. Phosp",NONE,NONE,,,,"
"
2f1g_v,3,2.92,0.9734,0.764011,1,1,1,0,0,0,Cathepsin S,HYDROLASE,CATS_HUMAN,Thiol protease. Key protease responsible for the removal of the invariant chain from MHC class II molecules. The bond- specificity of this proteinase is in part similar to the specificities of cathepsin L and cathepsin N.,NONE,Psoriasis;Arteriosclerosis;Pain;Rheumatoid arthritis;Autoimmune disease;Allergy;Inflammation;Asthma;Multiple sclerosis;Immune disorder,,,,"
"
1wbw_v,3,2.915,0.9717,0.659443,2,0,1,0,0,0,Mitogen-activated protein kinase 14,NONE,Q16539,Involved in MAP kinase activity,NONE,NONE,,,,"
"
1x97_v,3,2.894,0.9646,0.689687,2,1,0,0,0,0,Aldose reductase,OXIDOREDUCTASE,ALDR_HUMAN,Catalyzes the NADPH-dependent reduction of a wide variety of carbonyl-containing compounds to their corresponding alcohols with a broad range of catalytic efficiencies.,"In diabetes and galactosemia, increased AR activity leads to high levels of sorbitol and galactitol, respectively, in the cells of many tissues. Accumulation of sugar alcohols has been shown to cause osmotic cataracts in the lens. AR is also thought to play a key role in diabetic complications of three other target tissues, namely, nerve, kidney and retina.",Neuropathy;Diabetic neuropathy;Diabetic foot ulcer;Diabetic complication;Diabetic nephropathy;Retinopathy;Ocular disease;Central nervous system disease;Diabetic retinopathy;Diabetes mellitus;Diabetic cataract;Cataract,,,,"
"
1p49_v,3,2.888,0.9626,0.417296,3,0,0,0,0,0,Steryl-sulfatase,HYDROLASE,STS_HUMAN,Conversion of sulfated steroid precursors to estrogens during pregnancy.,"Defects in STS are the cause of ichthyosis X-linked (IXL) [MIM:308100]. Ichthyosis X-linked is a keratinization disorder manifesting with mild erythroderma and generalized exfoliation of the skin within a few weeks after birth. Affected boys later develop large, polygonal, dark brown scales, especially on the neck, extremities, trunk, and buttocks.",Cognitive disorder;Cancer;Breast tumor,,,,"
"
2ohs_v,3,2.884,0.9614,0.698401,1,0,2,0,0,0,Beta-secretase 1,HYDROLASE,BACE1_HUMAN,"Responsible for the proteolytic processing of the amyloid precursor protein (APP). Cleaves at the N-terminus of the A-beta peptide sequence, between residues 671 and 672 of APP, leads to the generation and extracellular release of beta-cleaved soluble APP",NONE,Alzheimers disease,,,,"
"
1gfw_v,3,2.862,0.954,0.601699,2,1,0,0,0,0,Caspase-3,HYDROLASE,CASP3_HUMAN,Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a 216-Asp-,-Gly-217 bond. Cleaves and activates sterol regulatory element bind,NONE,Cancer;Liver disease;Cognitive disorder;Neurodegenerative disease;Cerebrovascular ischemia,,,"
"
